run_id,filename,test,random_seed,traffic_pattern,workload,cache_policy,compiler_opt,clock_mhz,noc_virtual_channels,throughput_mb_s,average_latency_ns,execution_time_s,temperature_c,functional_coverage_pct,Outcome,Failure_Type,failure_signature,outcome_source,outcome_confidence,parse_conflict,is_truncated,config_id,extra_fields,cpu_mode,l2_cache_kb,dma_channels,axi_data_width,axi_burst_len,outstanding_txns,snoop_enable,ecc_enable,prefetch_enable,iommu_enable,voltage_mv,packet_size_bytes,irq_rate_khz
RUN_000001,RUN_000001.log,interrupt_fuzz,200000,mixed,heavy,write_through,O2,800,2,756.06,185.93,10.746,90,88.98,Fail,DMA_TIMEOUT,DMA_COMPLETION_TIMEOUT,parsed_status_field,0.95,False,False,CFG_0001,"{""code_coverage_pct"": [82.15], ""error_code"": [""DMA-309""], ""event"": [""QUEUE_DEPTH_HIGH""], ""memory_latency_ns"": [160], ""soc_block"": [""INTERRUPT_CTRL""], ""transaction_count"": [12714]}",power_save,2048,12,32,32,32,1,0,1,0,850,512,25
RUN_000002,RUN_000002.log,interrupt_fuzz,207919,mixed,heavy,write_through,O2,800,2,668.99,193.66,11.044,90,86.58,Fail,DMA_TIMEOUT,DMA_COMPLETION_TIMEOUT,parsed_status_field,0.95,False,False,CFG_0001,"{""code_coverage_pct"": [88.29], ""error_code"": [""DMA-309""], ""event"": [""IRQ_BACKLOG_RISING""], ""memory_latency_ns"": [160], ""soc_block"": [""INTERRUPT_CTRL""], ""transaction_count"": [8879]}",power_save,2048,12,32,32,32,1,0,1,0,850,512,25
RUN_000003,RUN_000003.log,interrupt_fuzz,215838,mixed,heavy,write_through,O2,800,2,487.29,162.81,9.82,90,89.17,Fail,DMA_TIMEOUT,DMA_COMPLETION_TIMEOUT,parsed_status_field,0.95,False,False,CFG_0001,"{""code_coverage_pct"": [81.99], ""error_code"": [""DMA-309""], ""event"": [""QUEUE_DEPTH_HIGH""], ""memory_latency_ns"": [160], ""soc_block"": [""INTERRUPT_CTRL""], ""transaction_count"": [15556]}",power_save,2048,12,32,32,32,1,0,1,0,850,512,25
RUN_000004,RUN_000004.log,interrupt_fuzz,223757,mixed,heavy,write_through,O2,800,2,581.76,176.23,11.501,90,84.57,Fail,DMA_TIMEOUT,DMA_COMPLETION_TIMEOUT,parsed_status_field,0.95,False,False,CFG_0001,"{""code_coverage_pct"": [83.55], ""error_code"": [""DMA-309""], ""event"": [""IRQ_BACKLOG_RISING""], ""memory_latency_ns"": [160], ""soc_block"": [""INTERRUPT_CTRL""], ""transaction_count"": [18414]}",power_save,2048,12,32,32,32,1,0,1,0,850,512,25
RUN_000005,RUN_000005.log,interrupt_fuzz,231676,mixed,heavy,write_through,O2,800,2,685.62,180.22,11.06,90,93.14,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0001,"{""code_coverage_pct"": [94.03], ""memory_latency_ns"": [160], ""soc_block"": [""INTERRUPT_CTRL""], ""transaction_count"": [9887]}",power_save,2048,12,32,32,32,1,0,1,0,850,512,25
RUN_000006,RUN_000006.log,axi_random_stress,200019,uniform,throughput_sensitive,write_through,O0,800,8,856.82,154.77,9.669,105,91.71,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0002,"{""code_coverage_pct"": [89.06], ""memory_latency_ns"": [130], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [14217]}",balanced,1024,4,256,8,16,0,1,0,0,850,64,50
RUN_000007,RUN_000007.log,axi_random_stress,207938,uniform,throughput_sensitive,write_through,O0,800,8,707.0,172.24,5.75,105,91.64,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0002,"{""code_coverage_pct"": [93.33], ""memory_latency_ns"": [130], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [12466]}",balanced,1024,4,256,8,16,0,1,0,0,850,64,50
RUN_000008,RUN_000008.log,axi_random_stress,215857,uniform,throughput_sensitive,write_through,O0,800,8,689.62,156.45,8.133,105,95.34,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0002,"{""code_coverage_pct"": [91.22], ""memory_latency_ns"": [130], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [8007]}",balanced,1024,4,256,8,16,0,1,0,0,850,64,50
RUN_000009,RUN_000009.log,axi_random_stress,223776,uniform,throughput_sensitive,write_through,O0,800,8,736.54,157.56,6.315,105,95.99,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0002,"{""code_coverage_pct"": [90.94], ""memory_latency_ns"": [130], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [8690]}",balanced,1024,4,256,8,16,0,1,0,0,850,64,50
RUN_000010,RUN_000010.log,axi_random_stress,231695,uniform,throughput_sensitive,write_through,O0,800,8,695.82,168.46,8.526,105,92.02,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0002,"{""code_coverage_pct"": [90.61], ""memory_latency_ns"": [130], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [15740]}",balanced,1024,4,256,8,16,0,1,0,0,850,64,50
RUN_000011,RUN_000011.log,cpu_exception_random,200038,uniform,medium,write_through,O0,1200,4,705.67,212.92,8.206,50,93.77,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0003,"{""code_coverage_pct"": [88.4], ""memory_latency_ns"": [200], ""soc_block"": [""CPU_SUBSYS""], ""transaction_count"": [10529]}",power_save,2048,8,256,32,16,1,0,0,1,800,2048,100
RUN_000012,RUN_000012.log,cpu_exception_random,207957,uniform,medium,write_through,O0,1200,4,645.31,238.39,7.582,50,94.0,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0003,"{""code_coverage_pct"": [91.9], ""memory_latency_ns"": [200], ""soc_block"": [""CPU_SUBSYS""], ""transaction_count"": [14039]}",power_save,2048,8,256,32,16,1,0,0,1,800,2048,100
